E_LPN_8	scBS_2C_6_1	scBS_2C_6_2	scBS_4C_7_1	scBS_4C_7_2	scBS_4C_7_3	scBS_4C_7_4	scBS_8C_9_1	scBS_8C_9_2	scBS_8C_9_3	scBS_8C_9_4	scBS_8C_9_5	scBS_8C_9_6	scBS_8C_9_7	scBS_8C_9_8
LCE1F	0.0	0.125	0.0	0.0	0.0	NA	0.125	NA	NA	0.0	NA	0.0	0.5	NA	0.0
LCE1D	0.167	0.0	0.0	0.0	NA	0.0	0.333	0.0	1.0	0.0	0.0	0.571	0.333	0.0	0.0
LCE1E	0.5	0.0	NA	0.0	NA	0.0	NA	0.0	0.667	0.0	0.0	0.0	0.0	NA	0.333
LCE1B	0.75	NA	0.0	0.0	NA	0.0	0.0	0.875	1.0	NA	1.0	0.667	NA	1.0	NA
LCE1C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.25	0.2	0.4	0.8	0.0	NA
LCE1A	0.167	NA	0.75	0.0	NA	0.0	0.25	0.25	0.875	0.0	NA	0.0	0.667	0.0	0.167
ESRRB	0.311	0.29	0.264	0.023	0.022	0.104	0.105	0.103	0.095	0.243	0.45	0.128	0.31	0.162	0.287
PGBD1	0.339	0.444	0.389	0.063	0.053	0.368	0.226	0.447	0.364	0.381	0.436	0.913	0.511	0.389	0.421
DSCR10	0.571	0.0	1.0	0.053	0.857	0.333	0.206	0.6	0.5	0.167	0.6	0.708	0.364	0.333	0.294
ECSIT	0.611	0.25	0.444	0.279	0.377	0.304	0.307	0.452	0.558	0.602	0.632	0.637	0.68	0.563	0.381
JTB	0.214	0.143	0.072	0.048	0.054	0.0	0.0	0.144	0.292	0.085	0.038	0.203	0.093	0.059	0.295
SUPT6H	0.825	0.848	0.744	0.489	0.289	0.439	0.466	0.547	0.745	0.56	0.492	0.577	0.57	0.544	0.679
RNF144A-AS1	0.061	0.049	0.028	0.016	0.0	0.006	0.021	0.0	0.019	0.033	0.07	0.087	0.045	0.0	0.042
CILP2	0.03	0.007	0.044	0.007	0.0	0.005	0.02	0.013	0.007	0.018	0.054	0.05	0.062	0.02	0.013
DOPEY2	0.798	0.608	0.657	0.459	0.31	0.435	0.271	0.407	0.757	0.748	0.572	0.664	0.534	0.557	0.392
DOPEY1	0.45	0.692	0.481	0.274	0.469	0.135	0.426	0.628	0.632	0.803	0.953	0.533	0.628	0.527	0.691
ZNF501	0.375	0.5	0.071	0.109	0.136	0.0	0.0	0.0	0.24	0.1	0.167	0.135	0.103	0.175	0.571
ZNF500	0.611	0.629	0.439	0.524	0.233	0.3	0.285	0.619	0.423	0.638	0.622	0.331	0.4	0.613	0.526
ZNF503	0.43	0.291	0.271	0.152	0.155	0.148	0.128	0.244	0.323	0.322	0.364	0.341	0.215	0.182	0.38
ZNF502	0.356	0.333	0.222	0.172	0.182	0.075	0.297	0.33	0.321	0.303	0.378	0.125	0.342	0.478	0.178
ZNF507	0.56	0.313	0.429	0.2	0.267	0.284	0.487	0.386	0.62	0.696	0.758	0.932	0.636	0.625	0.854
ZNF506	0.658	0.534	0.364	0.343	0.389	0.242	0.377	0.39	0.335	0.43	0.373	0.528	0.549	0.391	0.214
MYO3A	0.482	0.551	0.503	0.294	0.2	0.32	0.275	0.531	0.58	0.673	0.714	0.479	0.753	0.716	0.618
TREM1	0.075	0.147	0.342	0.029	0.179	0.172	0.217	0.41	0.452	0.435	0.071	0.463	0.3	0.32	0.329
TREM2	0.05	0.043	0.192	0.0	0.0	0.182	0.259	0.047	0.089	0.417	0.147	0.293	0.013	0.083	0.2
RPL41	0.0	0.0	0.0	0.0	NA	0.0	0.2	0.0	0.0	0.067	0.5	0.0	0.0	NA	0.0
RACGAP1	0.617	0.388	0.484	0.207	0.333	0.355	0.208	0.677	0.62	0.429	0.549	0.497	0.555	0.597	0.645
FAM167B	0.031	0.0	0.0	0.05	0.1	0.0	0.0	0.027	0.122	0.143	0.048	0.0	0.0	0.0	0.0
FAM167A	0.361	0.306	0.315	0.124	0.056	0.152	0.381	0.214	0.197	0.492	0.581	0.249	0.262	0.425	0.45
ZNF847P	NA	NA	1.0	NA	NA	NA	NA	0.0	1.0	NA	NA	NA	NA	0.5	NA
NRSN1	0.544	0.913	0.407	0.25	0.5	0.295	0.595	0.545	0.808	0.387	0.917	0.583	0.674	0.823	0.708
NRSN2	0.104	0.344	0.247	0.101	0.075	0.093	0.059	0.194	0.353	0.188	0.237	0.304	0.22	0.206	0.257
ZNF430	0.75	0.545	0.557	0.313	0.364	0.468	0.253	0.741	0.436	0.508	0.644	0.597	0.613	0.687	0.488
FGD5	0.785	0.6	0.56	0.467	0.442	0.271	0.52	0.68	0.518	0.636	0.86	0.561	0.507	0.4	0.664
FGD4	0.83	0.683	0.633	0.568	0.295	0.395	0.592	0.686	0.747	0.605	0.845	0.651	0.724	0.737	0.73
FGD6	0.712	0.637	0.529	0.391	0.517	0.334	0.474	0.698	0.541	0.608	0.856	0.526	0.628	0.621	0.67
FGD1	0.208	0.18	0.336	0.104	0.159	0.022	0.028	0.192	0.337	0.166	0.463	0.071	0.14	0.092	0.169
MIR4330	0.0	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FGD3	0.409	0.448	0.352	0.226	0.188	0.289	0.138	0.521	0.311	0.372	0.353	0.482	0.361	0.351	0.324
PUS7	0.607	0.316	0.403	0.339	0.2	0.35	0.295	0.586	0.607	0.551	0.564	0.403	0.492	0.603	0.608
VTN	0.781	0.5	0.295	0.233	0.043	0.04	0.027	0.576	0.781	0.167	0.316	0.2	0.206	0.45	0.708
MERTK	0.587	0.445	0.652	0.37	0.356	0.33	0.207	0.724	0.573	0.531	0.315	0.688	0.515	0.565	0.473
NPAP1	0.032	0.554	0.093	0.05	0.021	0.0	0.0	0.056	0.103	0.125	0.151	0.089	0.061	0.018	0.016
KEAP1	0.315	0.211	0.204	0.056	0.05	0.021	0.128	0.128	0.123	0.14	0.103	0.236	0.306	0.185	0.111
ZBTB8OS	0.662	0.433	0.474	0.372	0.283	0.245	0.175	0.511	0.574	0.625	0.307	0.461	0.383	0.248	0.288
SMN2	0.738	1.0	0.727	0.053	0.0	0.313	0.0	0.894	0.5	0.607	0.125	0.64	0.768	0.909	0.611
POLA2	0.595	0.429	0.385	0.335	0.269	0.41	0.275	0.529	0.48	0.455	0.568	0.618	0.442	0.694	0.58
POLA1	0.699	0.566	0.679	0.463	0.4	0.302	0.309	0.687	0.746	0.685	0.773	0.694	0.682	0.603	0.838
SMN1	0.738	1.0	0.727	0.053	0.0	0.313	0.0	0.894	0.5	0.607	0.125	0.64	0.768	0.909	0.611
FBRSL1	0.445	0.459	0.31	0.254	0.186	0.124	0.176	0.325	0.256	0.313	0.434	0.288	0.373	0.456	0.415
SLC5A1	0.827	0.842	0.672	0.569	0.308	0.642	0.552	0.692	0.601	0.783	0.69	0.71	0.725	0.741	0.698
SLC5A2	0.085	0.054	0.027	0.015	0.009	0.008	0.006	0.058	0.017	0.071	0.04	0.033	0.144	0.198	0.106
MEGF9	0.549	0.672	0.447	0.342	0.532	0.381	0.301	0.682	0.517	0.635	0.643	0.473	0.451	0.435	0.642
SLC5A4	0.556	0.6	0.184	0.222	0.205	0.226	0.441	0.586	0.425	0.601	0.491	0.423	0.544	0.483	0.759
CCNB1IP1	0.379	0.466	0.094	0.208	0.196	0.256	0.081	0.172	0.196	0.369	0.372	0.315	0.455	0.361	0.322
SLC5A6	0.506	0.74	0.393	0.239	0.054	0.21	0.235	0.365	0.414	0.509	0.125	0.481	0.472	0.478	0.472
SLC5A7	0.036	0.342	0.07	0.047	0.0	0.025	0.01	0.095	0.563	0.143	0.107	0.333	0.216	0.265	0.13
SLC5A8	0.139	0.067	0.127	0.095	0.178	0.061	0.263	0.183	0.148	0.223	0.08	0.422	0.188	0.214	0.234
SLC5A9	0.69	0.396	0.293	0.368	0.339	0.404	0.559	0.824	0.611	0.548	0.464	0.724	0.309	0.33	0.517
MEGF6	0.678	0.483	0.479	0.292	0.33	0.28	0.328	0.414	0.462	0.601	0.764	0.349	0.617	0.403	0.531
UCN	0.9	0.047	0.028	0.537	0.333	0.241	0.0	0.0	0.44	0.219	0.008	0.565	0.237	0.0	0.227
LOC340113	0.333	0.4	0.469	0.25	0.25	0.2	1.0	0.25	0.5	0.333	0.857	0.563	0.333	0.286	0.433
ZBTB3	0.186	0.25	0.236	0.034	0.0	0.163	0.0	0.043	0.382	0.056	0.559	0.213	0.064	0.154	0.103
ZBTB2	0.285	0.257	0.277	0.154	0.058	0.265	0.126	0.186	0.355	0.331	0.315	0.259	0.23	0.227	0.196
ZBTB1	0.177	0.205	0.208	0.085	0.175	0.051	0.134	0.161	0.234	0.297	0.328	0.252	0.234	0.349	0.271
CARD18	0.0	NA	NA	1.0	NA	0.0	NA	0.0	0.0	1.0	0.0	NA	NA	1.0	1.0
MAPT	0.331	0.198	0.214	0.111	0.048	0.088	0.061	0.24	0.192	0.332	0.49	0.155	0.448	0.252	0.365
ZBTB5	0.521	0.192	0.356	0.242	0.096	0.195	0.299	0.193	0.369	0.635	0.805	0.357	0.427	0.241	0.276
ZBTB4	0.495	0.293	0.234	0.193	0.405	0.229	0.101	0.381	0.437	0.331	0.487	0.3	0.286	0.291	0.462
NBR2	0.497	0.56	0.402	0.35	0.32	0.333	0.195	0.397	0.339	0.495	0.549	0.345	0.705	0.355	0.358
CARD11	0.323	0.334	0.31	0.142	0.09	0.071	0.081	0.277	0.284	0.34	0.488	0.244	0.333	0.425	0.54
NBR1	0.661	0.842	0.469	0.328	0.335	0.319	0.318	0.643	0.546	0.514	0.709	0.502	0.603	0.656	0.378
CARD17	0.0	NA	0.429	0.25	0.0	0.333	0.0	NA	0.75	0.3	0.643	0.643	0.75	0.5	0.25
CARD16	0.0	NA	0.357	0.333	1.0	NA	NA	NA	NA	0.0	0.0	0.0	1.0	0.714	1.0
CARD14	0.296	0.274	0.206	0.188	0.076	0.193	0.15	0.184	0.185	0.281	0.33	0.129	0.556	0.19	0.397
MIR3646	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LINC00499	0.849	0.538	0.703	0.573	0.533	0.466	0.4	0.786	0.924	0.858	0.897	0.914	0.951	0.83	0.802
LINC00494	0.227	0.2	0.321	0.197	0.1	0.024	0.117	0.085	0.086	0.171	0.293	0.574	0.292	0.222	0.18
LINC00492	0.744	0.75	0.457	0.294	0.25	0.286	0.207	1.0	0.462	0.75	0.875	0.538	0.767	0.737	0.548
MIR3649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LINC00491	0.684	0.895	0.625	0.458	0.357	0.308	0.284	0.6	0.529	0.678	0.625	0.582	0.524	0.571	0.591
CUL4A	0.482	0.463	0.355	0.338	0.293	0.298	0.189	0.586	0.589	0.706	0.703	0.574	0.566	0.55	0.412
CUL4B	0.447	0.164	0.438	0.181	0.245	0.136	0.212	0.319	0.459	0.338	0.522	0.438	0.431	0.266	0.459
IMMT	0.444	0.393	0.436	0.408	0.177	0.241	0.296	0.572	0.566	0.535	0.409	0.539	0.535	0.704	0.571
GLCCI1	0.463	0.422	0.464	0.255	0.222	0.216	0.197	0.454	0.44	0.686	0.658	0.498	0.608	0.618	0.504
SLC6A3	0.127	0.249	0.185	0.051	0.037	0.22	0.091	0.153	0.171	0.231	0.376	0.091	0.055	0.371	0.279
SLC6A2	0.085	0.155	0.145	0.108	0.091	0.05	0.061	0.112	0.188	0.182	0.19	0.096	0.171	0.161	0.444
SLC6A1	0.17	0.156	0.219	0.121	0.059	0.008	0.017	0.285	0.217	0.252	0.44	0.108	0.105	0.054	0.236
SLC6A7	0.123	0.071	0.115	0.024	0.095	0.027	0.064	0.106	0.016	0.099	0.417	0.024	0.122	0.277	0.135
SLC6A6	0.575	0.468	0.367	0.235	0.228	0.22	0.147	0.399	0.388	0.406	0.643	0.448	0.356	0.277	0.46
SLC6A5	0.317	0.124	0.252	0.178	0.178	0.14	0.07	0.115	0.214	0.341	0.255	0.26	0.287	0.315	0.271
SLC6A4	0.404	0.24	0.159	0.142	0.029	0.093	0.045	0.404	0.524	0.287	0.442	0.326	0.296	0.228	0.494
OR5D18	0.0	0.2	1.0	0.4	NA	NA	1.0	0.0	0.0	0.6	0.563	1.0	NA	0.6	0.143
SLC6A9	0.527	0.197	0.293	0.156	0.146	0.143	0.187	0.423	0.176	0.281	0.241	0.333	0.235	0.352	0.217
SLC6A8	0.101	0.12	0.189	0.04	0.007	0.063	0.06	0.09	0.261	0.152	0.22	0.056	0.08	0.069	0.044
KIAA1919	0.385	0.071	0.093	0.011	0.119	0.081	0.0	0.265	0.206	0.127	0.279	0.417	0.262	0.2	0.026
HSFY1P1	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	1.0	NA	0.0
ASB15	0.087	0.263	0.303	0.011	0.053	0.133	0.105	0.19	0.114	0.147	0.438	0.278	0.174	0.431	0.322
C12orf56	0.182	0.292	0.327	0.092	0.18	0.117	0.196	0.38	0.195	0.484	0.435	0.37	0.415	0.504	0.412
C12orf57	0.053	0.0	0.0	0.0	0.026	0.022	0.0	0.021	0.0	0.056	0.056	0.0	0.0	0.0	0.0
C12orf54	0.261	0.65	0.25	0.167	0.5	0.0	0.133	0.194	0.391	0.541	0.333	0.278	0.289	0.286	0.0
C12orf50	0.733	1.0	0.727	0.424	0.352	0.419	0.479	0.929	0.615	0.767	0.697	0.795	0.49	0.947	0.826
FMNL2	0.654	0.604	0.533	0.325	0.384	0.331	0.277	0.678	0.8	0.66	0.641	0.725	0.64	0.689	0.745
FMNL3	0.598	0.584	0.534	0.388	0.378	0.286	0.279	0.546	0.427	0.537	0.72	0.382	0.586	0.676	0.506
FMNL1	0.329	0.379	0.266	0.054	0.016	0.039	0.042	0.094	0.144	0.226	0.301	0.092	0.361	0.103	0.277
NEXN	0.242	0.075	0.301	0.046	0.128	0.069	0.183	0.31	0.397	0.517	0.533	0.363	0.377	0.324	0.572
GRM8	0.714	0.728	0.668	0.338	0.376	0.374	0.541	0.7	0.643	0.68	0.691	0.685	0.64	0.713	0.695
MAPRE1	0.464	0.577	0.489	0.298	0.178	0.25	0.236	0.358	0.425	0.413	0.565	0.423	0.491	0.408	0.311
MAPRE3	0.586	0.5	0.376	0.377	0.219	0.252	0.371	0.379	0.61	0.539	0.369	0.667	0.689	0.407	0.619
MAPRE2	0.45	0.26	0.392	0.173	0.194	0.268	0.24	0.393	0.393	0.419	0.384	0.391	0.488	0.44	0.572
GRM4	0.456	0.412	0.365	0.15	0.097	0.134	0.215	0.453	0.315	0.386	0.334	0.481	0.297	0.303	0.264
MIR125B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCARNA9	NA	NA	NA	NA	NA	NA	1.0	1.0	NA	NA	NA	NA	NA	1.0	NA
SCARNA8	NA	NA	NA	1.0	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA
SCARNA7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCARNA6	NA	1.0	1.0	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25
SCARNA5	1.0	NA	NA	0.333	0.0	NA	0.0	NA	0.9	NA	NA	1.0	NA	NA	0.667
SCARNA4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCARNA3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA
SCARNA2	0.014	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	0.0	0.0
SCARNA1	1.0	1.0	NA	NA	NA	0.0	0.0	NA	NA	0.0	NA	NA	0.5	NA	NA
EIF1B-AS1	0.694	0.856	0.635	0.475	0.322	0.292	0.431	0.694	0.696	0.624	0.927	0.688	0.642	0.698	0.752
RNF219	0.511	0.444	0.274	0.079	0.224	0.179	0.133	0.487	0.455	0.52	0.556	0.652	0.596	0.547	0.712
NR1H2	0.376	0.111	0.32	0.025	0.009	0.029	0.071	0.073	0.125	0.242	0.146	0.298	0.345	0.237	0.358
RNF215	0.757	0.817	0.367	0.141	0.176	0.141	0.224	0.191	0.276	0.331	0.182	0.331	0.443	0.55	0.314
RNF214	0.718	0.564	0.691	0.506	0.401	0.235	0.361	0.592	0.538	0.652	0.747	0.632	0.669	0.706	0.525
RNF217	0.231	0.429	0.384	0.158	0.254	0.093	0.193	0.377	0.347	0.364	0.387	0.329	0.302	0.323	0.44
RNF216	0.706	0.46	0.511	0.39	0.399	0.356	0.331	0.541	0.476	0.502	0.542	0.459	0.577	0.692	0.67
LOC101448202	0.702	0.548	0.564	0.385	0.45	0.321	0.433	0.771	0.643	0.645	0.581	0.824	0.522	0.65	0.728
RNF213	0.676	0.549	0.519	0.393	0.259	0.384	0.288	0.476	0.455	0.5	0.651	0.491	0.677	0.491	0.753
RNF212	0.796	0.605	0.522	0.523	0.299	0.444	0.287	0.623	0.508	0.59	0.619	0.513	0.706	0.64	0.768
MED29	0.335	0.191	0.473	0.222	0.276	0.277	0.294	0.389	0.455	0.356	0.274	0.471	0.801	0.365	0.452
MED28	0.355	0.395	0.184	0.212	0.0	0.154	0.185	0.16	0.189	0.78	0.382	0.327	0.304	0.475	0.329
MED21	0.023	0.042	0.095	0.067	0.074	0.0	0.667	0.192	0.115	0.354	0.583	0.1	0.294	0.214	0.119
MED20	0.333	0.184	0.293	0.156	0.139	0.171	0.206	0.161	0.099	0.385	0.528	0.201	0.158	0.24	0.128
MED23	0.712	0.593	0.39	0.491	0.524	0.394	0.349	0.585	0.558	0.885	0.702	0.661	0.622	0.303	0.714
MED22	0.159	0.221	0.131	0.047	0.013	0.016	0.012	0.146	0.149	0.045	0.018	0.214	0.006	0.016	0.008
MED25	0.665	0.415	0.415	0.316	0.268	0.406	0.398	0.535	0.425	0.473	0.506	0.639	0.68	0.385	0.354
MED24	0.734	0.725	0.397	0.3	0.24	0.484	0.264	0.33	0.361	0.541	0.824	0.345	0.641	0.517	0.427
MED27	0.758	0.683	0.658	0.395	0.451	0.391	0.554	0.783	0.637	0.733	0.692	0.817	0.598	0.584	0.576
ENAM	0.094	0.0	0.2	0.103	0.0	0.0	0.077	0.775	0.281	0.294	0.5	0.404	0.48	0.426	0.559
SEPT9	0.727	0.512	0.574	0.369	0.274	0.4	0.276	0.442	0.598	0.571	0.613	0.589	0.645	0.516	0.773
SEPT8	0.507	0.232	0.316	0.012	0.152	0.335	0.236	0.223	0.211	0.424	0.325	0.329	0.291	0.346	0.419
SEPT5	0.02	0.042	0.041	0.01	0.005	0.014	0.009	0.01	0.064	0.061	0.081	0.028	0.032	0.066	0.023
SEPT4	0.521	0.769	0.285	0.435	0.177	0.147	0.289	0.383	0.299	0.559	0.468	0.28	0.443	0.322	0.43
SEPT7	0.451	0.815	0.419	0.264	0.359	0.456	0.34	0.544	0.472	0.578	0.373	0.581	0.472	0.752	0.644
SEPT6	0.298	0.217	0.34	0.088	0.096	0.14	0.145	0.247	0.545	0.346	0.582	0.271	0.215	0.283	0.29
SEPT1	0.03	0.017	0.091	0.056	0.029	0.019	0.0	0.031	0.024	0.079	0.203	0.024	0.1	0.047	0.25
SEPT3	0.089	0.555	0.226	0.06	0.048	0.196	0.139	0.15	0.111	0.204	0.042	0.142	0.067	0.314	0.067
SEPT2	0.36	0.189	0.229	0.211	0.191	0.19	0.138	0.422	0.293	0.46	0.455	0.622	0.316	0.315	0.323
MIR1199	0.056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.033	0.0
LOC100128554	0.207	0.7	0.242	0.395	0.375	0.348	0.207	0.162	0.143	0.37	0.368	0.306	0.411	0.523	0.48
PRORY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIAP1	0.0	1.0	0.0	0.036	0.0	NA	0.0	0.0	0.0	0.017	0.0	0.045	0.0	1.0	0.0
YARS	0.526	0.36	0.426	0.282	0.415	0.258	0.381	0.241	0.691	0.557	0.346	0.534	0.36	0.457	0.53
MIR6764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR6765	0.0	NA	1.0	0.0	NA	0.571	0.0	0.357	0.5	NA	NA	0.0	0.857	0.833	NA
MIR6766	0.0	NA	0.0	0.0	0.0	NA	NA	NA	NA	1.0	NA	NA	1.0	1.0	NA
HOXB1	0.0	0.0	0.125	0.01	0.0	0.028	0.0	0.01	0.037	0.214	0.389	0.0	0.155	0.013	0.011
MIR6760	NA	NA	NA	1.0	NA	NA	NA	NA	1.0	NA	NA	0.0	NA	NA	1.0
MIR6761	1.0	NA	1.0	1.0	NA	NA	NA	NA	NA	NA	1.0	NA	0.25	0.5	0.75
MIR6762	1.0	NA	0.25	1.0	1.0	NA	1.0	0.0	0.0	NA	1.0	NA	0.5	NA	1.0
MIR6763	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	NA	NA	0.0	0.0	0.0	0.0
PARP4	0.663	0.386	0.594	0.476	0.289	0.313	0.324	0.526	0.513	0.66	0.67	0.653	0.452	0.492	0.633
PARP6	0.824	1.0	0.557	0.538	0.118	0.29	0.426	0.492	0.597	0.763	0.939	0.633	0.822	0.791	0.82
MIR6768	0.5	0.5	0.5	0.0	NA	NA	0.0	0.0	NA	NA	NA	1.0	NA	0.75	NA
DNAJC5G	0.547	0.167	0.031	0.239	0.182	0.487	0.175	0.282	0.339	0.356	0.0	0.35	0.378	0.273	0.432
PARP2	0.574	0.56	0.397	0.161	0.429	0.172	0.375	0.58	0.537	0.893	0.938	0.583	0.412	0.516	0.479
EPN2	0.695	0.509	0.534	0.329	0.307	0.282	0.339	0.42	0.65	0.454	0.48	0.428	0.331	0.381	0.564
TIPARP-AS1	0.007	0.0	0.026	0.004	0.0	0.018	0.011	0.028	0.017	0.0	0.007	0.003	0.003	0.0	0.007
ALDH4A1	0.696	0.589	0.49	0.201	0.512	0.277	0.319	0.489	0.842	0.565	0.588	0.554	0.551	0.489	0.306
NVL	0.82	0.736	0.67	0.384	0.423	0.358	0.421	0.797	0.814	0.788	0.662	0.678	0.819	0.61	0.57
FGF22	0.117	0.087	0.067	0.0	0.004	0.042	0.018	0.027	0.012	0.134	0.044	0.14	0.085	0.073	0.161
FGF23	0.612	0.933	0.593	0.238	0.56	0.403	0.556	0.854	0.671	0.3	0.9	0.314	0.615	0.858	0.606
FGF20	0.041	0.067	0.012	0.035	0.0	0.034	0.056	0.033	0.0	0.034	0.6	0.057	0.079	0.0	0.123
FGF21	0.056	0.0	0.222	0.0	0.214	0.0	0.226	0.0	0.059	0.208	0.588	0.606	0.154	0.028	0.023
MIR1238	NA	NA	0.25	1.0	0.0	NA	NA	0.5	0.5	0.25	1.0	0.25	0.0	0.0	NA
LOC100505635	0.846	0.8	0.381	0.6	0.0	0.545	0.333	0.636	0.857	0.941	0.938	0.923	0.933	0.844	1.0
GTSE1-AS1	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.043
ALDH1L1-AS1	0.865	0.632	0.484	0.314	0.222	0.338	0.429	0.919	0.604	0.423	0.759	0.623	0.608	0.214	0.935
MIR2682	0.0	0.0	0.0	0.0	0.0	NA	NA	0.0	NA	NA	0.0	NA	NA	NA	NA
MIR2681	0.0	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	1.0	NA	NA
MPST	0.161	0.015	0.036	0.051	0.014	0.025	0.099	0.037	0.069	0.111	0.064	0.056	0.078	0.153	0.043
YWHAEP7	0.13	0.1	0.217	0.202	0.066	0.044	0.069	0.208	0.392	0.279	0.371	0.124	0.164	0.168	0.379
YWHAEP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	NA
ALDH7A1	0.638	0.603	0.421	0.129	0.319	0.28	0.441	0.664	0.403	0.428	0.737	0.331	0.569	0.496	0.62
LOC101929239	0.419	0.875	0.0	0.4	0.167	0.222	0.059	0.026	0.333	0.208	0.182	0.24	0.176	0.323	0.517
C1QTNF9B	0.895	0.6	0.455	0.324	0.8	0.021	0.139	0.467	0.8	0.614	0.8	0.722	0.6	0.737	0.854
LOC101929231	0.74	0.886	0.705	0.395	0.297	0.525	0.381	0.904	0.62	0.754	0.557	0.717	0.687	0.841	0.735
LOC101929237	0.745	0.556	0.448	0.333	0.194	0.288	0.117	0.356	0.367	0.489	0.704	0.361	0.266	0.533	0.636
LOC101929234	0.113	0.75	0.04	0.047	0.0	0.0	0.0	0.042	0.5	0.059	0.667	0.078	0.0	0.0	0.0
HMGXB3	0.462	0.444	0.329	0.018	0.3	0.247	0.367	0.334	0.31	0.441	0.703	0.329	0.423	0.532	0.636
HMGXB4	0.387	0.082	0.379	0.227	0.19	0.3	0.326	0.273	0.394	0.79	0.596	0.543	0.389	0.513	0.725
BAHD1	0.455	0.272	0.279	0.133	0.095	0.132	0.046	0.168	0.3	0.22	0.456	0.246	0.39	0.226	0.177
MYLPF	0.186	0.037	0.167	0.0	0.286	0.439	0.067	0.075	0.034	0.233	0.148	0.093	0.152	0.138	0.03
YES1	0.514	0.416	0.611	0.31	0.339	0.31	0.484	0.473	0.474	0.628	0.626	0.511	0.65	0.473	0.532
ECT2	0.701	0.32	0.678	0.448	0.522	0.343	0.433	0.584	0.552	0.604	0.685	0.494	0.648	0.644	0.614
STAM2	0.601	0.781	0.742	0.615	0.264	0.365	0.35	0.546	0.814	0.57	0.671	0.647	0.601	0.639	0.782
ZCCHC9	0.242	0.143	0.412	0.069	0.167	0.0	0.153	0.235	1.0	0.804	0.765	0.278	0.145	0.278	0.286
ZCCHC8	0.536	0.458	0.401	0.171	0.289	0.205	0.38	0.358	0.215	0.548	0.689	0.365	0.527	0.377	0.449
TTTY8B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZCCHC3	0.0	0.014	0.0	0.0	0.025	0.0	0.013	0.0	0.0	0.008	0.011	0.0	0.004	0.0	0.004
ZCCHC2	0.315	0.125	0.33	0.279	0.083	0.146	0.215	0.204	0.352	0.378	0.22	0.25	0.255	0.365	0.304
ZCCHC7	0.682	0.554	0.676	0.386	0.475	0.58	0.413	0.576	0.567	0.754	0.907	0.677	0.724	0.627	0.629
ZCCHC6	0.634	0.429	0.411	0.482	0.293	0.407	0.5	0.711	0.592	0.647	0.613	0.647	0.605	0.628	0.793
ZCCHC5	0.688	NA	0.467	0.0	NA	0.0	0.125	0.8	0.313	0.667	0.8	0.111	0.4	1.0	1.0
ZCCHC4	0.691	0.833	0.643	0.423	0.321	0.689	0.366	0.444	0.614	0.65	0.728	0.429	0.75	0.618	0.736
RENBP	0.105	0.105	0.029	0.016	0.014	0.058	0.06	0.014	0.261	0.099	0.109	0.01	0.09	0.055	0.152
LOC654342	0.523	0.454	0.433	0.285	0.28	0.398	0.301	0.57	0.604	0.513	0.293	0.695	0.297	0.342	0.555
CHADL	0.116	0.023	0.073	0.027	0.096	0.013	0.074	0.107	0.056	0.212	0.142	0.129	0.122	0.143	0.077
SLC7A5P1	0.0	0.009	0.014	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.01	0.0
SLC7A5P2	0.083	0.0	0.048	0.027	0.034	0.0	0.0	0.017	0.0	0.05	0.065	0.012	0.03	0.008	0.0
C6orf132	0.098	0.145	0.09	0.035	0.021	0.064	0.069	0.171	0.059	0.109	0.143	0.211	0.062	0.049	0.026
ARID3C	0.0	0.023	0.008	0.023	0.0	0.079	0.015	0.032	0.0	0.047	0.0	0.004	0.02	0.0	0.029
